Gene	Cytoband	CNA	#	Freq	Cases	Gistic
CD274	9p24	AMP	3	1.17%	TCGA-AA-A01Q-01,TCGA-AG-3594-01,TCGA-AF-3400-01	
PALB2	16p12.2	DEL	2	0.78%	TCGA-AA-A01Q-01,TCGA-AA-A024-01	
NOTCH2	1p13-p11	DEL	2	0.78%	TCGA-AA-A01Q-01,TCGA-AZ-4615-01	
ACVR1B	12q13	DEL	2	0.78%	TCGA-AA-A01Q-01,TCGA-AG-3586-01	
RPTOR	17q25.3	DEL	1	0.39%	TCGA-AA-A01Q-01	
HLA-B	6p21.3	DEL	1	0.39%	TCGA-AA-A01Q-01	
PIK3R3	1p34.1	AMP	1	0.39%	TCGA-AG-A002-01	
RAD54L	1p32	AMP	1	0.39%	TCGA-AG-A002-01	
HIST1H2BC	6p22.1	AMP	1	0.39%	TCGA-AA-A01R-01	
HIST1H2AC	6p22.1	AMP	1	0.39%	TCGA-AA-A01R-01	
HIST1H1E	6p21.3	AMP	1	0.39%	TCGA-AA-A01R-01	
HIST1H2BD	6p21.3	AMP	1	0.39%	TCGA-AA-A01R-01	
HIST1H3D	6p22.1	AMP	1	0.39%	TCGA-AA-A01R-01	
HIST1H3E	6p22.2	AMP	1	0.39%	TCGA-AA-A01R-01	
HIST1H1D	6p21.3	AMP	1	0.39%	TCGA-AA-A01R-01	
HIST1H3F	6p22.2	AMP	1	0.39%	TCGA-AA-A01R-01	
HIST1H3G	6p22.2	AMP	1	0.39%	TCGA-AA-A01R-01	
MET	7q31	DEL	1	0.39%	TCGA-AA-A01R-01	
HRAS	11p15.5	DEL	1	0.39%	TCGA-AA-A01R-01	
IGF2	11p15.5	DEL	1	0.39%	TCGA-AA-A01R-01	
FBXW7	4q31.3	AMP	1	0.39%	TCGA-AA-A01R-01	
JARID2	6p24-p23	AMP	1	0.39%	TCGA-AA-A01R-01	
DEK	6p22.3	AMP	1	0.39%	TCGA-AA-A01R-01	
E2F3	6p22	AMP	1	0.39%	TCGA-AA-A01R-01	
SOX4	6p22.3	AMP	1	0.39%	TCGA-AA-A01R-01	
HIST1H3A	6p22.2	AMP	1	0.39%	TCGA-AA-A01R-01	
HIST1H3B	6p22.2	AMP	1	0.39%	TCGA-AA-A01R-01	
HIST1H1C	6p21.3	AMP	1	0.39%	TCGA-AA-A01R-01	
HIST1H3C	6p22.2	AMP	1	0.39%	TCGA-AA-A01R-01	
HIST1H2BJ	6p22.1	AMP	1	0.39%	TCGA-AA-A01R-01	
HIST1H2AG	6p22.1	AMP	1	0.39%	TCGA-AA-A01R-01	
HIST1H2BK	6p21.33	AMP	1	0.39%	TCGA-AA-A01R-01	
HIST1H4I	6p21.33	AMP	1	0.39%	TCGA-AA-A01R-01	
HIST1H3H	6p22.1	AMP	1	0.39%	TCGA-AA-A01R-01	
HIST1H2AL	6p22.1	AMP	1	0.39%	TCGA-AA-A01R-01	
HIST1H3I	6p22.1	AMP	1	0.39%	TCGA-AA-A01R-01	
